"Scientific_Name","Plot","Total_Weight","pXRF_measurement_ID","Cl_concentration","Ca_concentration","Ti_concentration","Cr_concentration","Mn_concentration","Fe_concentration","Ni_concentration","Cu_concentration","Zn_concentration","As_concentration","Se_concentration","Cd_concentration","Re_concentration","Substrate_RT"
"Portulaca suffrutescens","P2",0.127,"2197",858,4309,78.4,11.9,0,197,0,36.9,6.7,5.9,0,0,0,0.027072595
"Portulaca suffrutescens","P5",0.8,"2198",953,9770,71.4,3.5,12.4,155,0,37.5,44,2.3,0.4,0,0,0.082513347
"Portulaca suffrutescens","P5",0.145,"2199",513,7830,64.9,9.7,0,54.2,0,0,0,5.2,0,0,0,0.022429016
"Portulaca suffrutescens","P5",0.684,"2200",0,11631,101,0,0,86.3,0,7.2,8.9,2.8,0,0,0,0.074795745
"Portulaca suffrutescens","P6",0.321,"2201",1464,6274,61.4,4.6,0,94.6,0,38.9,9.5,3.7,0.5,0,0,0.039652657
"Portulaca suffrutescens","P6",0.074,"2202",1764,8346,114,9.4,0,337,0,137,0,7.9,0,15.5,0,0.02007913
"Portulaca suffrutescens","P6",0.021,"2203",0,1280,41.5,13.7,0,15.4,0,0,0,14.5,0,0,0,0.007136526
"Pseudognaphalium canescens","P6",0.463,"2208",5037,9026,231,6.9,20,1463,0,403,22.7,3.7,2.8,0,0,0.032204662
"Pseudognaphalium canescens","P6",0.502,"2209",4334,8954,206,8.1,0,1326,0,273,6.4,4.6,2.4,0,0,0.033130746
"Pseudognaphalium canescens","P6",0.225,"2210",4104,8173,137,20.3,0,643,0,161,0,10.2,0,0,0,0.029156677
"Pseudognaphalium canescens","P6",0.25,"2417",1306,8623,410,14.2,0,2641,0,450,0,11.6,0,0,0,0.037468746
"Pseudognaphalium canescens","P6",0.222,"2418",2074,9548,286,13.2,0,1730,0,131,0,10.2,0,0,0,0.030822171
"Senegalia (Acacia) greggii","P2",0.264,"2282",329,29628,24.9,0,92.4,99.1,0,57.6,18.4,1.7,10.9,0,77.8,0.0373099
"Senegalia (Acacia) greggii","P2",0.409,"2283",0,29103,0,0,135,89,0,67.2,22.4,2,14.1,0,99.9,0.059785351
"Senegalia (Acacia) greggii","P2",1.051,"2284",0,36291,0,0,128,89.9,0,62.3,12.8,1.9,2.3,0,34.6,0.073030964
"Solanum elaeagnifolium","P1",0.19,"2167",1466,14048,37.5,11.8,0,205,0,0,0,7.5,0,0,0,0.032319102
"Solanum elaeagnifolium","P1",0.404,"2168",392,12843,62.1,11.9,0,254,0,0,0,7.7,0,0,0,0.045562532
"Solanum elaeagnifolium","P1",0.701,"2169",9904,23141,50.3,7.7,19.5,248,0,20.3,8.2,4.9,2.4,0,16.4,0.051134165
"Solanum elaeagnifolium","P1",0.166,"2170",2680,14901,59.6,11.7,0,353,0,0,0,7.7,0,0,0,0.036363732
"Solanum elaeagnifolium","P2",0.703,"2171",1679,19567,52.6,6.3,12.9,330,0,19.6,4.9,4.6,1.4,0,0,0.053631462
"Solanum elaeagnifolium","P2",0.731,"2172",3357,24165,59.1,5.2,0,383,0,42.2,16.4,3.4,2.5,0,0,0.050528556
